,time,open,high,low,close,volume,vc
0,2020-05-05T13:59:00.000Z,8923.9,8923.9,8918.1,8919.1,58,0.58
1,2020-05-05T13:58:00.000Z,8917.7,8923.9,8917.7,8923.9,129,1.29
2,2020-05-05T13:57:00.000Z,8921.4,8921.4,8916.3,8916.8,160,1.6
3,2020-05-05T13:56:00.000Z,8925.3,8925.3,8917.2,8920.8,298,2.98
4,2020-05-05T13:55:00.000Z,8911.2,8927.8,8909.4,8926.6,1118,11.18
5,2020-05-05T13:54:00.000Z,8925.2,8925.2,8911.8,8911.8,219,2.19
6,2020-05-05T13:53:00.000Z,8925.4,8926.1,8916.1,8926.1,768,7.68
7,2020-05-05T13:52:00.000Z,8938,8938,8925.1,8927.7,593,5.93
8,2020-05-05T13:51:00.000Z,8941.9,8943.9,8939.8,8939.8,161,1.61
9,2020-05-05T13:50:00.000Z,8933.1,8940.8,8932.4,8940.8,158,1.58
10,2020-05-05T13:49:00.000Z,8935.3,8936.8,8930.5,8930.5,216,2.16
11,2020-05-05T13:48:00.000Z,8928.2,8937,8928.2,8933.5,951,9.51
12,2020-05-05T13:47:00.000Z,8938.1,8938.1,8928,8928.3,1159,11.59
13,2020-05-05T13:46:00.000Z,8943.1,8950,8938.3,8938.9,824,8.24
14,2020-05-05T13:45:00.000Z,8940.3,8952.6,8938,8944,1836,18.36
15,2020-05-05T13:44:00.000Z,8943.6,8953,8939.1,8941.5,1834,18.34
16,2020-05-05T13:43:00.000Z,8935.6,8944,8935.6,8943.5,1994,19.94
17,2020-05-05T13:42:00.000Z,8936,8940.5,8933.6,8934.8,945,9.45
18,2020-05-05T13:41:00.000Z,8929,8935.7,8929,8935.7,520,5.2
19,2020-05-05T13:40:00.000Z,8928.1,8937.4,8927.1,8929.2,912,9.12
20,2020-05-05T13:39:00.000Z,8932.2,8932.2,8926,8928.6,951,9.51
21,2020-05-05T13:38:00.000Z,8939.2,8939.2,8929.1,8933.3,570,5.7
22,2020-05-05T13:37:00.000Z,8935.3,8947.6,8935.2,8936.9,1450,14.5
23,2020-05-05T13:36:00.000Z,8939,8943.2,8921.2,8934.1,1546,15.46
24,2020-05-05T13:35:00.000Z,8930.4,8948.8,8924,8938.4,2080,20.8
25,2020-05-05T13:34:00.000Z,8916.2,8934.7,8916.1,8931.3,2604,26.04
26,2020-05-05T13:33:00.000Z,8899,8923.8,8899,8917.6,4013,40.13
27,2020-05-05T13:32:00.000Z,8880.3,8898.9,8879.6,8898.9,1236,12.36
28,2020-05-05T13:31:00.000Z,8879,8880.2,8878.6,8880.2,82,0.82
29,2020-05-05T13:30:00.000Z,8882.3,8882.3,8875.3,8880,84,0.84
30,2020-05-05T13:29:00.000Z,8883.9,8883.9,8882.8,8882.8,87,0.87
31,2020-05-05T13:28:00.000Z,8880,8883.5,8880,8883.3,62,0.62
32,2020-05-05T13:27:00.000Z,8876.8,8881.4,8876.5,8879.6,140,1.4
33,2020-05-05T13:26:00.000Z,8874.4,8877.1,8874.4,8877.1,100,1
34,2020-05-05T13:25:00.000Z,8885.7,8885.7,8876,8876.8,168,1.68
35,2020-05-05T13:24:00.000Z,8883.1,8885.5,8882.7,8884.6,220,2.2
36,2020-05-05T13:23:00.000Z,8885.5,8885.9,8882.4,8883.5,151,1.51
37,2020-05-05T13:22:00.000Z,8880.5,8884,8880.5,8884,64,0.64
38,2020-05-05T13:21:00.000Z,8886.2,8887.3,8880.5,8881.8,347,3.47
39,2020-05-05T13:20:00.000Z,8883.7,8889.7,8883.7,8886.4,306,3.06
40,2020-05-05T13:19:00.000Z,8893.8,8893.8,8884,8884,493,4.93
41,2020-05-05T13:18:00.000Z,8886.1,8894,8884.8,8894,87,0.87
42,2020-05-05T13:17:00.000Z,8878,8887.2,8876.3,8887.2,785,7.85
43,2020-05-05T13:16:00.000Z,8876.3,8881.7,8876.3,8880.5,552,5.52
44,2020-05-05T13:15:00.000Z,8879.5,8879.7,8877.3,8878.6,303,3.03
45,2020-05-05T13:14:00.000Z,8884,8884,8876.5,8879.9,531,5.31
46,2020-05-05T13:13:00.000Z,8883.6,8887.2,8883.4,8884.7,119,1.19
47,2020-05-05T13:12:00.000Z,8883.2,8884.8,8881.3,8882,368,3.68
48,2020-05-05T13:11:00.000Z,8886.4,8887.2,8880.8,8883.3,325,3.25
49,2020-05-05T13:10:00.000Z,8885.8,8890.7,8882,8887.5,724,7.24
50,2020-05-05T13:09:00.000Z,8883.2,8887.2,8878.1,8884.7,1083,10.83
51,2020-05-05T13:08:00.000Z,8875.4,8884,8874,8884,1011,10.11
52,2020-05-05T13:07:00.000Z,8854.9,8875.2,8854.9,8875.2,414,4.14
